epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,462.406,1.37282,3.20249,1.56383,0.01549,0.75599,0.08648,0.03428,0.98323,3.05169,1.276,0.00192,0.00064,0.00192,0.00064,0.00192,0.00064,0.00192,0.00064
2,803.938,1.08191,2.99936,1.33372,0.01695,0.82724,0.20912,0.10475,0.84959,2.86614,1.11452,0.00386783,0.00128927,0.00386783,0.00128927,0.00386783,0.00128927,0.00386783,0.00128927
3,1223.29,0.96483,2.70292,1.19159,0.49648,0.35997,0.33213,0.19575,0.81932,2.51282,1.05479,0.00578298,0.00192766,0.00578298,0.00192766,0.00578298,0.00192766,0.00578298,0.00192766
4,1629.06,0.93256,2.28711,1.15075,0.38087,0.58008,0.38582,0.24638,0.85763,1.87163,1.07508,0.0058515,0.0019505,0.0058515,0.0019505,0.0058515,0.0019505,0.0058515,0.0019505
5,1996.44,0.95132,1.90955,1.15793,0.48104,0.60719,0.48354,0.31217,0.81977,1.68866,1.04881,0.005802,0.001934,0.005802,0.001934,0.005802,0.001934,0.005802,0.001934
6,2446.06,0.91301,1.64448,1.13868,0.40967,0.69735,0.49362,0.32301,0.78192,1.58717,1.01519,0.0057525,0.0019175,0.0057525,0.0019175,0.0057525,0.0019175,0.0057525,0.0019175
7,3044.85,0.88379,1.56322,1.10451,0.4783,0.71501,0.55112,0.35398,0.75133,1.51957,0.99355,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
8,3454.99,0.84239,1.49577,1.05655,0.53051,0.69798,0.60228,0.41029,0.71436,1.43694,0.97046,0.0056535,0.0018845,0.0056535,0.0018845,0.0056535,0.0018845,0.0056535,0.0018845
9,3799.08,0.80903,1.44633,1.05749,0.55483,0.71982,0.62945,0.44422,0.69873,1.38904,0.96336,0.005604,0.001868,0.005604,0.001868,0.005604,0.001868,0.005604,0.001868
10,4185.11,0.77332,1.36678,1.03428,0.56855,0.73366,0.65249,0.47871,0.67135,1.33318,0.94504,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515,0.0055545,0.0018515
11,4520.29,0.78137,1.36394,1.03646,0.5852,0.74653,0.69426,0.51272,0.65697,1.28372,0.9324,0.005505,0.001835,0.005505,0.001835,0.005505,0.001835,0.005505,0.001835
12,4794.87,0.79053,1.30672,1.04072,0.62494,0.74527,0.71291,0.52527,0.67849,1.25809,0.93517,0.0054555,0.0018185,0.0054555,0.0018185,0.0054555,0.0018185,0.0054555,0.0018185
13,5113.92,0.76952,1.28224,1.02159,0.6431,0.77427,0.74081,0.558,0.64662,1.22185,0.92439,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
14,5407.61,0.7617,1.23796,1.00474,0.65572,0.79379,0.77178,0.59447,0.62664,1.15563,0.91367,0.0053565,0.0017855,0.0053565,0.0017855,0.0053565,0.0017855,0.0053565,0.0017855
15,5717.82,0.74285,1.19894,0.99563,0.67395,0.77049,0.77969,0.60852,0.61427,1.11208,0.90793,0.005307,0.001769,0.005307,0.001769,0.005307,0.001769,0.005307,0.001769
16,6021.86,0.73287,1.1571,0.9871,0.72332,0.75989,0.80461,0.63666,0.60198,1.06719,0.90208,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525,0.0052575,0.0017525
17,6363.09,0.72204,1.11026,0.98636,0.72601,0.78689,0.8159,0.65883,0.59826,1.01631,0.89593,0.005208,0.001736,0.005208,0.001736,0.005208,0.001736,0.005208,0.001736
18,6789.35,0.69695,1.09473,0.98169,0.73156,0.7995,0.83166,0.6652,0.59019,1.00776,0.89752,0.0051585,0.0017195,0.0051585,0.0017195,0.0051585,0.0017195,0.0051585,0.0017195
19,7206.64,0.7118,1.08795,0.98358,0.76366,0.81083,0.85681,0.69381,0.59318,0.98094,0.89154,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
20,7512.51,0.71772,1.07213,0.98162,0.74948,0.814,0.8529,0.68084,0.58535,0.99965,0.88775,0.0050595,0.0016865,0.0050595,0.0016865,0.0050595,0.0016865,0.0050595,0.0016865
21,7759.46,0.70352,1.02014,0.98094,0.80504,0.83165,0.87996,0.72703,0.57088,0.88775,0.87987,0.00501,0.00167,0.00501,0.00167,0.00501,0.00167,0.00501,0.00167
22,8003.19,0.69216,0.97684,0.97536,0.81956,0.84615,0.90013,0.74889,0.56894,0.84806,0.87773,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535
23,8258.8,0.68082,0.97987,0.96911,0.83019,0.8348,0.90365,0.75099,0.56542,0.85708,0.8761,0.004911,0.001637,0.004911,0.001637,0.004911,0.001637,0.004911,0.001637
24,8501.78,0.66824,0.93403,0.95993,0.84268,0.87768,0.917,0.77884,0.56118,0.78981,0.87102,0.0048615,0.0016205,0.0048615,0.0016205,0.0048615,0.0016205,0.0048615,0.0016205
25,8741.86,0.68438,0.94623,0.96902,0.86796,0.86696,0.92731,0.78208,0.55377,0.77884,0.87143,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
26,8976.85,0.67783,0.93408,0.96971,0.87725,0.88777,0.93836,0.79352,0.55375,0.74256,0.86897,0.0047625,0.0015875,0.0047625,0.0015875,0.0047625,0.0015875,0.0047625,0.0015875
27,9224.96,0.66965,0.88839,0.95663,0.87645,0.90858,0.9443,0.81034,0.53987,0.6903,0.85953,0.004713,0.001571,0.004713,0.001571,0.004713,0.001571,0.004713,0.001571
28,9475.36,0.67382,0.86119,0.96151,0.91101,0.8908,0.94756,0.81466,0.53239,0.67061,0.85867,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545
29,9737.31,0.66276,0.83401,0.95052,0.91895,0.89786,0.95168,0.82305,0.52625,0.66492,0.85153,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538
30,9975.02,0.64391,0.78531,0.93981,0.92478,0.90696,0.958,0.83217,0.51869,0.62911,0.84934,0.0045645,0.0015215,0.0045645,0.0015215,0.0045645,0.0015215,0.0045645,0.0015215
31,10278.1,0.64238,0.78406,0.93932,0.93152,0.92434,0.96184,0.8372,0.51703,0.61656,0.84853,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
32,10565.7,0.63639,0.78845,0.94284,0.92331,0.92612,0.95997,0.83427,0.51881,0.63975,0.84703,0.0044655,0.0014885,0.0044655,0.0014885,0.0044655,0.0014885,0.0044655,0.0014885
33,10859.8,0.64341,0.76309,0.94167,0.90318,0.91171,0.94961,0.80412,0.52311,0.72102,0.847,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472
34,11157.6,0.64283,0.76356,0.94023,0.93147,0.92875,0.96546,0.84304,0.51229,0.58998,0.84023,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555
35,11508.4,0.63212,0.75719,0.94595,0.93486,0.93632,0.96623,0.84516,0.50519,0.57481,0.84068,0.004317,0.001439,0.004317,0.001439,0.004317,0.001439,0.004317,0.001439
36,11872.7,0.60966,0.696,0.92887,0.95038,0.9338,0.96719,0.85099,0.5031,0.55319,0.841,0.0042675,0.0014225,0.0042675,0.0014225,0.0042675,0.0014225,0.0042675,0.0014225
37,12244.4,0.63155,0.73303,0.92885,0.96013,0.94132,0.97195,0.85162,0.49705,0.53748,0.83762,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
38,12611.3,0.60811,0.68831,0.91834,0.95809,0.94199,0.97462,0.85448,0.49994,0.53796,0.83692,0.0041685,0.0013895,0.0041685,0.0013895,0.0041685,0.0013895,0.0041685,0.0013895
39,13006.7,0.61706,0.70584,0.92895,0.97053,0.93449,0.97486,0.8532,0.49865,0.53276,0.83709,0.004119,0.001373,0.004119,0.001373,0.004119,0.001373,0.004119,0.001373
40,13312.3,0.62094,0.68685,0.92858,0.96542,0.95066,0.97805,0.86297,0.48988,0.50587,0.83286,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565
41,13595,0.60189,0.64729,0.91837,0.96118,0.95082,0.97614,0.86534,0.47694,0.49629,0.82777,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134
42,13854.9,0.61616,0.67227,0.93014,0.96868,0.95569,0.97595,0.86794,0.473,0.49767,0.82787,0.0039705,0.0013235,0.0039705,0.0013235,0.0039705,0.0013235,0.0039705,0.0013235
43,14134.1,0.60933,0.65129,0.91782,0.96321,0.95397,0.97666,0.87111,0.4775,0.48988,0.83012,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
44,14412.4,0.59624,0.62115,0.91885,0.96585,0.9483,0.97577,0.86573,0.4788,0.49814,0.8266,0.0038715,0.0012905,0.0038715,0.0012905,0.0038715,0.0012905,0.0038715,0.0012905
45,14666.3,0.60604,0.63266,0.9177,0.96313,0.95535,0.97567,0.86906,0.4743,0.49773,0.82341,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274
46,14914.7,0.60087,0.61428,0.91832,0.97317,0.95145,0.9779,0.87365,0.46849,0.47424,0.82126,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575
47,15160.7,0.57488,0.61187,0.90007,0.97622,0.95208,0.97998,0.87389,0.46644,0.45618,0.82178,0.003723,0.001241,0.003723,0.001241,0.003723,0.001241,0.003723,0.001241
48,15405.6,0.57711,0.59461,0.90313,0.97431,0.95586,0.97954,0.8755,0.46139,0.45139,0.8205,0.0036735,0.0012245,0.0036735,0.0012245,0.0036735,0.0012245,0.0036735,0.0012245
49,15659,0.56889,0.5713,0.89775,0.97346,0.95271,0.98022,0.87785,0.45996,0.45217,0.81807,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
50,15893.5,0.57358,0.58464,0.90104,0.97315,0.95977,0.97991,0.87403,0.46022,0.45202,0.81717,0.0035745,0.0011915,0.0035745,0.0011915,0.0035745,0.0011915,0.0035745,0.0011915
51,16138.9,0.59502,0.60147,0.91883,0.96494,0.96154,0.97976,0.87388,0.46209,0.46913,0.81609,0.003525,0.001175,0.003525,0.001175,0.003525,0.001175,0.003525,0.001175
52,16372.5,0.57135,0.57959,0.9087,0.9762,0.95704,0.98264,0.88203,0.45097,0.43616,0.81242,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585
53,16614.8,0.58311,0.57286,0.90506,0.9865,0.96028,0.98366,0.88679,0.44403,0.42041,0.81156,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142
54,16913.4,0.56146,0.56259,0.8959,0.97974,0.9691,0.98372,0.88466,0.44915,0.42717,0.813,0.0033765,0.0011255,0.0033765,0.0011255,0.0033765,0.0011255,0.0033765,0.0011255
55,17194.3,0.55682,0.54102,0.89349,0.98007,0.96137,0.98269,0.88271,0.44575,0.42976,0.81224,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
56,17488.7,0.56822,0.54727,0.89869,0.9846,0.96739,0.98352,0.88606,0.44277,0.41813,0.81193,0.0032775,0.0010925,0.0032775,0.0010925,0.0032775,0.0010925,0.0032775,0.0010925
57,17777.2,0.56308,0.55004,0.8983,0.98431,0.96974,0.98448,0.88794,0.44154,0.41466,0.81198,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076
58,18032.5,0.56167,0.55197,0.89546,0.97327,0.97037,0.9838,0.88688,0.44219,0.42128,0.81251,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595
59,18299.9,0.53914,0.54563,0.88861,0.97647,0.96794,0.98389,0.88441,0.44647,0.43456,0.81529,0.003129,0.001043,0.003129,0.001043,0.003129,0.001043,0.003129,0.001043
60,18625.5,0.54977,0.54152,0.89126,0.97766,0.9657,0.98458,0.88679,0.44514,0.42077,0.81355,0.0030795,0.0010265,0.0030795,0.0010265,0.0030795,0.0010265,0.0030795,0.0010265
61,18950.2,0.56827,0.55328,0.90431,0.97968,0.97281,0.9848,0.88625,0.43941,0.41234,0.81104,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
62,19328.9,0.56536,0.53208,0.90615,0.98444,0.96974,0.98519,0.88762,0.44726,0.41126,0.81839,0.0029805,0.0009935,0.0029805,0.0009935,0.0029805,0.0009935,0.0029805,0.0009935
63,19690,0.56107,0.52562,0.89839,0.98594,0.97239,0.98504,0.88848,0.44395,0.41019,0.81609,0.002931,0.000977,0.002931,0.000977,0.002931,0.000977,0.002931,0.000977
64,19956.2,0.52989,0.51947,0.89018,0.98758,0.97163,0.98512,0.88688,0.43751,0.40542,0.81004,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605
65,20202.1,0.53614,0.52169,0.88836,0.98534,0.97489,0.98588,0.89285,0.42629,0.39498,0.80688,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944
66,20513.2,0.54103,0.51436,0.89019,0.9891,0.97163,0.98687,0.89694,0.4216,0.39515,0.80504,0.0027825,0.0009275,0.0027825,0.0009275,0.0027825,0.0009275,0.0027825,0.0009275
67,20874.6,0.53358,0.50585,0.89152,0.98784,0.97793,0.98833,0.89566,0.43057,0.39472,0.80627,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
68,21224.4,0.54237,0.50941,0.88859,0.99124,0.97541,0.98892,0.89986,0.42513,0.39023,0.80409,0.0026835,0.0008945,0.0026835,0.0008945,0.0026835,0.0008945,0.0026835,0.0008945
69,21523.6,0.53518,0.50938,0.8898,0.98848,0.97399,0.98832,0.89798,0.43013,0.39235,0.80866,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878
70,21767.1,0.54934,0.50306,0.89123,0.9886,0.97226,0.98935,0.89982,0.42369,0.38767,0.80552,0.0025845,0.0008615,0.0025845,0.0008615,0.0025845,0.0008615,0.0025845,0.0008615
71,22015.2,0.53639,0.50115,0.88577,0.9948,0.97163,0.98969,0.89691,0.42907,0.38346,0.80832,0.002535,0.000845,0.002535,0.000845,0.002535,0.000845,0.002535,0.000845
72,22269.1,0.51307,0.48629,0.88181,0.99035,0.97054,0.99009,0.89889,0.41813,0.38203,0.80252,0.0024855,0.0008285,0.0024855,0.0008285,0.0024855,0.0008285,0.0024855,0.0008285
73,22513.9,0.52733,0.50108,0.88879,0.98801,0.97478,0.9909,0.89944,0.41595,0.37912,0.80252,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
74,22761.8,0.54128,0.48866,0.89198,0.9829,0.97851,0.99012,0.90052,0.41486,0.38106,0.80391,0.0023865,0.0007955,0.0023865,0.0007955,0.0023865,0.0007955,0.0023865,0.0007955
75,23017.5,0.53404,0.49136,0.88632,0.98661,0.97543,0.99127,0.90606,0.40573,0.36715,0.7997,0.002337,0.000779,0.002337,0.000779,0.002337,0.000779,0.002337,0.000779
76,23265.5,0.48766,0.45398,0.87282,0.98603,0.97922,0.99252,0.90564,0.40951,0.3681,0.8004,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625
77,23515,0.52313,0.4837,0.87901,0.9936,0.97851,0.99183,0.90654,0.40429,0.36358,0.79859,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746
78,23764.7,0.51439,0.47833,0.88439,0.99261,0.97793,0.99133,0.90389,0.40688,0.36592,0.79956,0.0021885,0.0007295,0.0021885,0.0007295,0.0021885,0.0007295,0.0021885,0.0007295
79,24009.4,0.50157,0.47253,0.88229,0.9949,0.97919,0.99207,0.90447,0.40385,0.35869,0.7978,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
80,24255.3,0.52146,0.46471,0.88674,0.99426,0.97982,0.99263,0.90445,0.40229,0.35843,0.79738,0.0020895,0.0006965,0.0020895,0.0006965,0.0020895,0.0006965,0.0020895,0.0006965
81,24500.4,0.51466,0.4543,0.873,0.99044,0.97977,0.9921,0.90282,0.40336,0.35914,0.79814,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068
82,24742.7,0.51198,0.45136,0.86929,0.99679,0.98424,0.99272,0.90736,0.39929,0.35656,0.79728,0.0019905,0.0006635,0.0019905,0.0006635,0.0019905,0.0006635,0.0019905,0.0006635
83,25012.9,0.50501,0.46187,0.87377,0.99415,0.98235,0.99308,0.90762,0.40008,0.35481,0.79717,0.001941,0.000647,0.001941,0.000647,0.001941,0.000647,0.001941,0.000647
84,25286.1,0.51925,0.47082,0.87923,0.9936,0.97883,0.99349,0.90906,0.40094,0.3548,0.7968,0.0018915,0.0006305,0.0018915,0.0006305,0.0018915,0.0006305,0.0018915,0.0006305
85,25584.6,0.49889,0.45657,0.87836,0.99684,0.98298,0.99399,0.91121,0.39105,0.34337,0.79519,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
86,25830.4,0.52121,0.46693,0.88271,0.99577,0.98298,0.99246,0.90866,0.39126,0.33964,0.79507,0.0017925,0.0005975,0.0017925,0.0005975,0.0017925,0.0005975,0.0017925,0.0005975
87,26071.7,0.50979,0.45748,0.88233,0.99503,0.98235,0.99385,0.91436,0.38513,0.33991,0.79413,0.001743,0.000581,0.001743,0.000581,0.001743,0.000581,0.001743,0.000581
88,26325.3,0.51001,0.44964,0.87922,0.99616,0.98134,0.99383,0.91236,0.39074,0.34422,0.7947,0.0016935,0.0005645,0.0016935,0.0005645,0.0016935,0.0005645,0.0016935,0.0005645
89,26650.3,0.51536,0.45584,0.87287,0.99421,0.98298,0.99391,0.91369,0.38464,0.34463,0.79353,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548
90,26945.8,0.50674,0.45583,0.87889,0.99412,0.98172,0.99398,0.91426,0.38958,0.34326,0.79476,0.0015945,0.0005315,0.0015945,0.0005315,0.0015945,0.0005315,0.0015945,0.0005315
91,27267,0.5015,0.45069,0.87373,0.99298,0.98111,0.99415,0.91142,0.39166,0.34041,0.79482,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
92,27616.4,0.49568,0.44871,0.87638,0.99045,0.98103,0.99434,0.91227,0.39323,0.34212,0.79527,0.0014955,0.0004985,0.0014955,0.0004985,0.0014955,0.0004985,0.0014955,0.0004985
93,27890.7,0.48836,0.43414,0.87408,0.99521,0.98108,0.99434,0.91319,0.38725,0.33756,0.79445,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482
94,28162.1,0.49094,0.44218,0.86911,0.99459,0.98172,0.99366,0.91647,0.38277,0.33363,0.7939,0.0013965,0.0004655,0.0013965,0.0004655,0.0013965,0.0004655,0.0013965,0.0004655
95,28437.6,0.4965,0.44269,0.87851,0.99596,0.98108,0.99422,0.91603,0.3828,0.33352,0.79339,0.001347,0.000449,0.001347,0.000449,0.001347,0.000449,0.001347,0.000449
96,28740.3,0.49142,0.45026,0.86973,0.99429,0.98361,0.99432,0.91783,0.37865,0.33089,0.79247,0.0012975,0.0004325,0.0012975,0.0004325,0.0012975,0.0004325,0.0012975,0.0004325
97,29114.9,0.49792,0.44224,0.87589,0.99389,0.98235,0.99449,0.91705,0.38403,0.33155,0.79293,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
98,29392.9,0.48218,0.43296,0.86701,0.99487,0.97788,0.99452,0.91917,0.37748,0.33032,0.79182,0.0011985,0.0003995,0.0011985,0.0003995,0.0011985,0.0003995,0.0011985,0.0003995
99,29638.4,0.48377,0.43079,0.86889,0.99165,0.97919,0.99425,0.91852,0.37782,0.33028,0.79217,0.001149,0.000383,0.001149,0.000383,0.001149,0.000383,0.001149,0.000383
100,29875.1,0.48242,0.419,0.87216,0.99173,0.98315,0.99416,0.91991,0.37154,0.3286,0.79087,0.0010995,0.0003665,0.0010995,0.0003665,0.0010995,0.0003665,0.0010995,0.0003665
101,30110.9,0.47414,0.43028,0.86564,0.99468,0.98235,0.99441,0.92024,0.37507,0.32753,0.79148,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035
102,30347.5,0.48603,0.42957,0.87626,0.99617,0.98309,0.99434,0.92091,0.37279,0.32446,0.79097,0.0010005,0.0003335,0.0010005,0.0003335,0.0010005,0.0003335,0.0010005,0.0003335
103,30583.6,0.48674,0.4216,0.87227,0.99688,0.98235,0.99452,0.91945,0.3729,0.32537,0.79091,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
104,30818.2,0.47312,0.41711,0.86414,0.99762,0.98361,0.99474,0.92224,0.37041,0.32369,0.78941,0.0009015,0.0003005,0.0009015,0.0003005,0.0009015,0.0003005,0.0009015,0.0003005
105,31055.3,0.48231,0.4233,0.86832,0.99744,0.98282,0.99455,0.92055,0.37395,0.32492,0.79002,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284
106,31316.5,0.48922,0.42501,0.86926,0.99616,0.98173,0.99456,0.92202,0.373,0.32355,0.78982,0.0008025,0.0002675,0.0008025,0.0002675,0.0008025,0.0002675,0.0008025,0.0002675
107,31589.8,0.4795,0.42997,0.8766,0.99785,0.98235,0.99476,0.92074,0.37287,0.32338,0.79024,0.000753,0.000251,0.000753,0.000251,0.000753,0.000251,0.000753,0.000251
108,31866.6,0.47963,0.4252,0.86933,0.99629,0.98172,0.9946,0.92338,0.37208,0.32206,0.79003,0.0007035,0.0002345,0.0007035,0.0002345,0.0007035,0.0002345,0.0007035,0.0002345
109,32132.4,0.48185,0.42004,0.87208,0.99616,0.98224,0.99465,0.92471,0.3671,0.31948,0.789,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
110,32402.4,0.47492,0.40739,0.86437,0.99412,0.98298,0.9943,0.92409,0.36592,0.31974,0.78894,0.0006045,0.0002015,0.0006045,0.0002015,0.0006045,0.0002015,0.0006045,0.0002015
111,32656.7,0.49606,0.54878,0.86301,0.99234,0.97919,0.99389,0.9193,0.37851,0.33712,0.79033,0.000555,0.000185,0.000555,0.000185,0.000555,0.000185,0.000555,0.000185
112,32908.7,0.4867,0.5206,0.87032,0.98732,0.97163,0.99312,0.9135,0.39191,0.36192,0.79397,0.0005055,0.0001685,0.0005055,0.0001685,0.0005055,0.0001685,0.0005055,0.0001685
113,33161.2,0.46815,0.49688,0.85714,0.98464,0.97226,0.99259,0.91185,0.39459,0.36877,0.79532,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152
114,33412.2,0.46113,0.47079,0.85254,0.97977,0.97705,0.99291,0.91397,0.38985,0.36414,0.79444,0.0004065,0.0001355,0.0004065,0.0001355,0.0004065,0.0001355,0.0004065,0.0001355
115,33675.8,0.48444,0.53751,0.84935,0.98646,0.97541,0.99255,0.91002,0.3968,0.36931,0.7969,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
116,33947.5,0.45258,0.4693,0.84965,0.98786,0.97516,0.99278,0.91271,0.39039,0.3622,0.79466,0.0003075,0.0001025,0.0003075,0.0001025,0.0003075,0.0001025,0.0003075,0.0001025
117,34181.2,0.4778,0.47379,0.85573,0.98654,0.97604,0.99301,0.91217,0.38966,0.35972,0.7945,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05
118,34413.2,0.46887,0.47975,0.85298,0.98931,0.97793,0.99378,0.91313,0.38852,0.35601,0.79402,0.0002085,6.95e-05,0.0002085,6.95e-05,0.0002085,6.95e-05,0.0002085,6.95e-05
119,34647.2,0.44712,0.4482,0.83992,0.99041,0.9771,0.99318,0.91291,0.3881,0.35567,0.79397,0.000159,5.3e-05,0.000159,5.3e-05,0.000159,5.3e-05,0.000159,5.3e-05
120,34929.2,0.45943,0.44726,0.84086,0.9908,0.97793,0.99391,0.91318,0.38757,0.35615,0.79407,0.0001095,3.65e-05,0.0001095,3.65e-05,0.0001095,3.65e-05,0.0001095,3.65e-05
